Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Age_na
2015,,6.8,10.0,0,0,1,0,1
2019,16+,8.7,62.0,1,0,0,0,0
2017,,6.6,13.0,0,0,1,0,1
2015,,8.7,10.0,0,1,0,0,1
2018,16+,7.2,62.0,1,0,0,0,0
2018,,6.0,10.0,0,0,1,0,1
2019,,5.3,34.0,1,0,0,0,1
2013,,7.8,37.0,0,0,1,0,1
1993,7+,7.8,67.0,0,1,0,0,0
2020,,6.2,47.0,1,0,0,0,1
2017,,5.2,34.0,0,0,1,0,1
2017,,6.9,43.0,1,0,0,0,1
2015,all,6.8,42.0,1,0,0,0,0
2018,,6.7,48.0,1,0,0,0,1
2003,,5.0,37.0,0,0,1,0,1
2014,16+,8.1,76.0,0,1,0,0,0
2015,18+,8.6,90.0,1,0,0,0,0
2020,16+,6.7,52.0,1,0,0,0,0
2002,7+,4.1,54.0,0,1,0,0,0
2018,,8.3,47.0,0,0,1,0,1
2017,,6.7,37.0,1,0,0,0,1
2014,,8.8,10.0,0,0,1,0,1
2018,,7.6,41.0,1,0,0,0,1
2020,16+,6.8,67.0,0,1,0,0,0
2014,16+,7.9,65.0,0,1,0,0,0
1996,all,8.2,45.0,0,0,1,0,0
2020,,7.5,50.0,1,0,0,0,1
2021,18+,6.4,57.0,1,0,0,0,0
2016,16+,6.2,66.0,1,0,0,0,0
2014,,3.7,19.0,0,1,0,0,1
2019,18+,7.6,52.0,1,0,0,0,0
2020,18+,2.5,35.0,1,0,0,0,0
2013,,8.4,42.0,0,1,0,0,1
2019,18+,7.6,65.0,1,0,0,0,0
2014,16+,8.6,69.0,0,0,1,0,0
2014,,4.9,34.0,1,0,0,0,1
2018,,7.1,38.0,0,0,1,0,1
2020,7+,7.0,63.0,0,1,0,0,0
2020,,7.6,56.0,1,0,0,0,1
2018,,6.4,10.0,0,0,1,0,1
2017,,8.7,10.0,0,0,1,0,1
2006,16+,7.0,63.0,0,1,0,0,0
2018,all,7.2,54.0,0,1,0,0,0
2017,,6.8,16.0,0,0,1,0,1
2015,,7.7,55.0,0,0,1,0,1
2017,16+,7.4,46.0,0,1,0,0,0
2019,18+,7.5,47.0,1,0,0,0,0
2020,,7.2,53.0,1,0,0,0,1
2018,18+,7.1,69.0,1,0,0,0,0
2017,,8.0,10.0,0,0,1,0,1
1993,7+,6.3,48.0,0,1,0,0,0
2018,,7.5,10.0,1,0,0,0,1
2014,18+,8.7,86.0,1,0,0,0,0
2011,16+,7.1,70.0,0,1,0,0,0
2016,all,6.4,51.0,0,0,0,1,0
2020,,7.1,58.0,1,0,0,0,1
2017,,6.6,50.0,0,0,1,0,1
