Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
2015,6.2,38.0,0,0,1,0
1988,7.0,73.0,0,1,1,0
2016,7.2,71.0,1,0,0,0
2017,6.8,10.0,0,0,1,0
2021,6.0,52.0,0,1,0,0
2020,7.1,45.0,0,1,0,0
2020,8.1,53.0,0,0,1,0
2016,6.5,46.0,0,0,1,0
2016,6.6,39.0,1,0,0,0
2008,6.6,10.0,0,0,1,0
1993,8.6,87.0,0,1,0,0
2018,7.8,33.0,1,0,0,0
1997,7.4,45.0,0,0,1,0
2017,8.7,14.0,0,1,0,0
2017,7.3,71.0,1,0,0,0
2021,9.0,68.0,0,1,0,0
2013,6.9,47.0,0,1,0,0
2018,6.2,42.0,1,0,1,0
2015,8.0,65.0,1,0,0,0
2011,7.9,33.0,0,0,1,0
2011,8.6,71.0,0,1,0,0
2019,5.0,60.0,1,0,0,0
1996,7.2,45.0,0,0,1,0
2019,7.9,78.0,0,0,1,0
2002,6.9,59.0,0,0,1,0
2015,6.2,38.0,1,0,0,0
2012,7.1,66.0,0,1,0,0
2020,7.5,51.0,1,0,0,0
1997,8.2,46.0,0,0,1,0
2014,7.3,30.0,0,0,1,0
2019,3.8,26.0,0,0,1,0
2007,8.0,71.0,0,0,0,1
2017,6.1,45.0,0,0,1,0
2019,7.4,47.0,1,0,0,0
1994,8.0,45.0,0,0,1,0
2003,6.2,57.0,1,1,1,0
2017,6.0,10.0,0,0,1,0
2012,8.0,76.0,1,0,0,0
2017,7.8,14.0,0,0,1,0
1998,7.7,67.0,1,1,1,0
2006,7.1,53.0,0,1,0,0
2011,6.5,58.0,0,0,0,1
2021,6.6,43.0,1,0,0,0
2017,5.0,10.0,0,0,1,0
2000,7.1,45.0,0,1,0,0
2019,6.1,60.0,1,0,0,0
2020,8.3,66.0,1,0,0,0
2021,7.4,67.0,1,0,0,0
1955,8.8,39.0,0,0,1,0
2020,7.1,54.0,1,0,0,0
2014,5.2,51.0,1,0,0,0
2013,7.5,48.0,0,0,1,0
2012,3.7,10.0,0,1,0,0
2001,7.9,42.0,0,0,1,0
2017,7.0,54.0,1,0,0,0
2020,7.4,51.0,1,0,0,0
2016,7.8,69.0,0,1,1,0
2012,7.1,20.0,0,0,1,0
2014,6.4,10.0,0,0,1,0
2010,8.8,44.0,1,0,0,0
2018,7.6,77.0,0,1,0,0
2011,8.7,37.0,0,0,1,0
2015,7.3,38.0,0,1,0,0
2016,7.7,77.0,0,1,0,0
2018,6.8,10.0,0,0,1,0
2015,8.3,57.0,1,0,0,0
2007,8.0,14.0,0,0,1,0
2014,7.5,10.0,0,0,1,0
2015,6.8,10.0,0,0,1,0
2014,7.6,73.0,1,0,0,0
2021,7.3,69.0,0,0,1,0
1978,7.9,47.0,0,0,1,0
2014,5.8,56.0,0,1,0,0
2017,6.1,40.0,0,0,1,0
2017,7.8,47.0,0,0,1,0
2015,7.3,59.0,0,0,1,0
2017,6.1,10.0,0,0,1,0
2015,8.5,86.0,1,0,0,0
2021,5.0,46.0,1,0,0,0
2019,8.0,82.0,1,0,0,0
2017,6.9,18.0,0,0,1,0
2018,7.5,30.0,0,0,0,1
2018,7.7,64.0,1,0,0,0
2009,7.1,49.0,0,0,1,0
2020,6.3,42.0,0,1,0,0
2014,8.4,39.0,0,0,1,0
2013,8.5,77.0,0,1,0,0
2019,7.5,37.0,0,1,0,0
1997,6.3,60.0,0,1,0,0
1994,8.6,14.0,0,0,1,0
2016,7.1,38.0,0,0,1,0
2016,7.6,13.0,1,0,0,0
2015,7.1,37.0,1,0,0,0
2019,8.1,53.0,0,1,0,0
2016,8.1,77.0,1,0,0,0
2017,8.3,14.0,0,1,0,0
2010,5.5,29.0,0,0,1,0
2017,7.5,52.0,1,0,0,0
2018,7.7,51.0,1,0,0,0
2018,6.9,38.0,0,0,1,0
2014,7.2,63.0,0,1,0,0
2019,7.4,32.0,1,0,0,0
2008,6.5,43.0,0,1,0,0
2017,6.2,10.0,0,0,1,0
2020,5.4,37.0,1,0,0,0
2003,6.7,50.0,1,0,0,0
2021,6.2,57.0,0,1,0,0
2019,7.8,39.0,0,0,0,1
2014,6.9,57.0,0,1,0,0
2014,7.2,73.0,0,1,0,0
2010,6.5,45.0,0,0,1,0
2016,6.0,62.0,0,0,1,0
2019,6.1,38.0,0,0,1,0
2020,6.4,52.0,1,0,0,0
2020,5.8,39.0,1,0,0,0
1997,6.3,52.0,0,0,1,0
2010,8.3,31.0,0,0,1,0
2015,7.5,78.0,1,0,1,0
2019,6.8,46.0,0,1,0,0
2011,7.2,45.0,0,0,1,0
2016,7.6,10.0,0,0,1,0
2012,7.3,59.0,0,0,1,0
2018,5.6,40.0,1,0,0,0
2020,6.6,59.0,1,0,0,0
2012,7.5,62.0,0,1,0,0
2003,7.8,45.0,0,1,0,0
2018,6.8,46.0,1,0,0,0
2018,6.8,35.0,1,0,0,0
2016,7.7,14.0,0,0,1,0
2021,8.8,55.0,1,0,0,0
2020,6.3,55.0,0,1,0,0
2019,7.2,74.0,0,0,1,0
2014,8.1,45.0,0,0,1,0
2011,7.1,54.0,0,1,0,0
2006,7.1,57.0,0,1,0,0
2011,7.0,64.0,0,0,1,0
2009,8.6,86.0,0,1,0,0
2017,8.1,10.0,0,0,1,0
2012,6.4,44.0,0,1,0,0
2012,6.6,29.0,0,0,1,0
2012,4.4,13.0,1,0,0,0
2019,7.1,73.0,1,0,0,0
2013,6.6,54.0,0,0,0,1
2014,6.7,42.0,0,1,0,0
2018,8.1,10.0,0,0,1,0
2014,7.4,18.0,0,0,1,0
1948,7.3,23.0,0,0,1,0
2020,5.9,36.0,0,0,0,1
2017,7.8,72.0,0,0,1,0
2012,6.5,46.0,0,0,1,0
2008,6.7,45.0,0,1,0,0
2008,4.6,44.0,0,1,0,0
2005,2.4,28.0,0,0,1,0
2020,5.5,32.0,1,0,0,0
2004,6.2,50.0,0,0,0,1
2021,7.2,75.0,0,0,0,1
2015,8.3,61.0,0,0,1,0
2020,7.6,51.0,0,0,1,0
2016,6.7,59.0,1,0,0,0
2019,7.1,39.0,1,0,0,0
1991,7.1,53.0,0,1,0,0
2021,5.9,48.0,1,0,0,0
2021,7.4,54.0,1,0,0,0
2011,6.8,55.0,1,0,0,0
2017,6.2,10.0,0,0,1,0
2016,7.8,19.0,0,1,0,0
1997,6.3,21.0,0,0,0,1
2014,7.8,13.0,0,1,0,0
2016,6.9,50.0,1,0,0,0
2017,8.1,39.0,0,1,0,0
2021,8.5,95.0,0,0,0,1
2018,8.1,10.0,0,0,0,1
2021,7.6,62.0,1,0,0,0
2013,5.2,66.0,0,1,0,0
2012,7.8,52.0,0,0,1,0
2019,7.7,60.0,1,0,0,0
2005,6.2,52.0,0,1,0,0
2017,4.2,10.0,0,0,1,0
1981,8.1,64.0,0,1,0,0
2015,7.7,56.0,0,0,1,0
2018,7.6,52.0,0,1,1,0
2016,3.7,36.0,1,0,0,0
2020,6.8,50.0,1,0,0,0
2016,6.5,38.0,1,0,0,0
2017,6.7,27.0,0,0,1,0
2015,6.2,13.0,0,0,1,0
2015,8.3,83.0,1,0,0,0
2014,8.9,10.0,0,0,1,0
2018,7.3,29.0,0,1,0,0
1979,5.8,44.0,0,0,0,1
2014,8.6,55.0,1,0,0,0
2016,7.0,35.0,1,0,0,0
