Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
8,6.2,38.0,0,0,1,0
35,7.0,73.0,0,1,1,0
7,7.2,71.0,1,0,0,0
6,6.8,10.0,0,0,1,0
2,6.0,52.0,0,1,0,0
3,7.1,45.0,0,1,0,0
3,8.1,53.0,0,0,1,0
7,6.5,46.0,0,0,1,0
7,6.6,39.0,1,0,0,0
15,6.6,10.0,0,0,1,0
30,8.6,87.0,0,1,0,0
5,7.8,33.0,1,0,0,0
26,7.4,45.0,0,0,1,0
6,8.7,14.0,0,1,0,0
6,7.3,71.0,1,0,0,0
2,9.0,68.0,0,1,0,0
10,6.9,47.0,0,1,0,0
5,6.2,42.0,1,0,1,0
8,8.0,65.0,1,0,0,0
12,7.9,33.0,0,0,1,0
12,8.6,71.0,0,1,0,0
4,5.0,60.0,1,0,0,0
27,7.2,45.0,0,0,1,0
4,7.9,78.0,0,0,1,0
21,6.9,59.0,0,0,1,0
8,6.2,38.0,1,0,0,0
11,7.1,66.0,0,1,0,0
3,7.5,51.0,1,0,0,0
26,8.2,46.0,0,0,1,0
9,7.3,30.0,0,0,1,0
4,3.8,26.0,0,0,1,0
16,8.0,71.0,0,0,0,1
6,6.1,45.0,0,0,1,0
4,7.4,47.0,1,0,0,0
29,8.0,45.0,0,0,1,0
20,6.2,57.0,1,1,1,0
6,6.0,10.0,0,0,1,0
11,8.0,76.0,1,0,0,0
6,7.8,14.0,0,0,1,0
25,7.7,67.0,1,1,1,0
17,7.1,53.0,0,1,0,0
12,6.5,58.0,0,0,0,1
2,6.6,43.0,1,0,0,0
6,5.0,10.0,0,0,1,0
23,7.1,45.0,0,1,0,0
4,6.1,60.0,1,0,0,0
3,8.3,66.0,1,0,0,0
2,7.4,67.0,1,0,0,0
68,8.8,39.0,0,0,1,0
3,7.1,54.0,1,0,0,0
9,5.2,51.0,1,0,0,0
10,7.5,48.0,0,0,1,0
11,3.7,10.0,0,1,0,0
22,7.9,42.0,0,0,1,0
6,7.0,54.0,1,0,0,0
3,7.4,51.0,1,0,0,0
7,7.8,69.0,0,1,1,0
11,7.1,20.0,0,0,1,0
9,6.4,10.0,0,0,1,0
13,8.8,44.0,1,0,0,0
5,7.6,77.0,0,1,0,0
12,8.7,37.0,0,0,1,0
8,7.3,38.0,0,1,0,0
7,7.7,77.0,0,1,0,0
5,6.8,10.0,0,0,1,0
8,8.3,57.0,1,0,0,0
16,8.0,14.0,0,0,1,0
9,7.5,10.0,0,0,1,0
8,6.8,10.0,0,0,1,0
9,7.6,73.0,1,0,0,0
2,7.3,69.0,0,0,1,0
